REGIAO:;S;;;;;;;;;;;;;;;;
UF:;PR;;;;;;;;;;;;;;;;
ESTACAO:;CURITIBA;;;;;;;;;;;;;;;;
CODIGO (WMO):;A807;;;;;;;;;;;;;;;;
LATITUDE:;-25,4486111;;;;;;;;;;;;;;;;
LONGITUDE:;-49,23055554;;;;;;;;;;;;;;;;
ALTITUDE:;922,91;;;;;;;;;;;;;;;;
DATA DE FUNDACAO:;28/01/2003;;;;;;;;;;;;;;;;
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, RAJADA MAXIMA (m/s);;;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, RAJADA MAXIMA (m/s)
06/05/2023;2000 UTC;0;539,2;24,3;25,6;24,3;67;4,3;;;;;;;;;
06/05/2023;2100 UTC;0;129,6;22,1;24,3;22,1;81;4,8;;;;;;;;;
06/05/2023;2200 UTC;0;;20,2;22,1;20,2;90;4,7;;;;;;;;;
06/05/2023;2300 UTC;0;;19,7;20,2;19,7;93;4,7;;;;;;;;;
07/05/2023;0000 UTC;0;;19,3;19,7;19,2;93;4,2;;;;;;;;;
07/05/2023;0100 UTC;0;;19,4;19,4;19,2;92;4,2;;;;;;;;;
07/05/2023;0200 UTC;0;;19,5;19,5;19,3;93;4;;;;;;;;;
07/05/2023;0300 UTC;0;;19;19,5;19;93;3,8;;;;;;;;;
07/05/2023;0400 UTC;0;;18,9;19;18,7;94;4,3;;;;;;;;;
07/05/2023;0500 UTC;0;;18,6;18,9;18,5;94;4,3;;;;;;;;;
07/05/2023;0600 UTC;0;;18,4;18,6;18,3;93;5,3;;;;;;;;;
07/05/2023;0700 UTC;0;;18,4;18,5;18,3;93;4,4;;;;;;;;;
07/05/2023;0800 UTC;0;;18,4;18,5;18,3;93;3,1;;;;;;;;;
07/05/2023;0900 UTC;0;;18,3;18,5;18,2;93;2;;;;;;;;;
07/05/2023;1000 UTC;0;5,3;18,6;18,6;18,3;93;1,7;;;;;;;;;
07/05/2023;1100 UTC;0;253,6;18,9;19;18,5;89;3,2;;;;;;;;;
07/05/2023;1200 UTC;0;689,9;19,9;20,1;18,8;81;3,4;;;;;;;;;
07/05/2023;1300 UTC;0;1552;21,5;21,9;19,8;76;5,5;;;;;;;;;
07/05/2023;1400 UTC;0;2256,9;21,9;22,9;20,5;74;5,3;;;;;;;;;
07/05/2023;1500 UTC;0;2706;23,9;24,3;21,9;64;3,6;;;;;;;;;
07/05/2023;1600 UTC;0;2703,8;24,2;25,1;23,1;62;4,2;;;;;;;;;
07/05/2023;1700 UTC;0;2346,2;25;25,9;23,7;55;5,7;;;;;;;;;
07/05/2023;1800 UTC;0;2479,4;25,3;26,5;25;54;5,2;;;;;;;;;
07/05/2023;1900 UTC;0;1842,5;25,4;26,6;25,3;56;5,7;;;;;;;;;
07/05/2023;2000 UTC;0;572,9;24,6;25,7;24,6;59;3,7;;;;;;;;;
07/05/2023;2100 UTC;0;160,7;23,3;24,6;23,2;67;2,5;;;;;;;;;
07/05/2023;2200 UTC;0;;20,8;23,3;20,8;85;4,5;;;;;;;;;
07/05/2023;2300 UTC;0;;20,1;20,8;20,1;89;3,6;;;;;;;;;
08/05/2023;0000 UTC;0;;19,8;20,1;19,6;91;5;;;;;;;;;
08/05/2023;0100 UTC;0;;19,7;19,9;19,7;90;4,7;;;;;;;;;
08/05/2023;0200 UTC;0;;19,3;19,8;19,3;92;4,3;;;;;;;;;
08/05/2023;0300 UTC;0;;18,9;19,4;18,8;94;4;;;;;;;;;
08/05/2023;0400 UTC;0;;18,6;18,9;18,6;95;3;;;;;;;;;
08/05/2023;0500 UTC;0;;18,5;18,6;18,3;95;2,5;;;;;;;;;
08/05/2023;0600 UTC;0;;18,5;18,6;18,5;94;2,2;;;;;;;;;
08/05/2023;0700 UTC;0;;18,6;18,6;18,2;95;2,4;;;;;;;;;
08/05/2023;0800 UTC;0;;18,4;18,7;18,4;94;2,1;;;;;;;;;
08/05/2023;0900 UTC;0;;18,3;18,5;18,2;93;4,3;;;;;;;;;
08/05/2023;1000 UTC;0;8;18,4;18,5;18,2;92;4,3;;;;;;;;;
08/05/2023;1100 UTC;0;260,5;19,1;19,1;18,4;89;3,6;;;;;;;;;
08/05/2023;1200 UTC;0;850,3;20,3;20,3;19,1;83;3,3;;;;;;;;;
08/05/2023;1300 UTC;0;918,7;21,6;21,6;20,3;79;6,8;;;;;;;;;
08/05/2023;1400 UTC;0;1850,6;23,1;23,7;21,6;73;7,1;;;;;;;;;
08/05/2023;1500 UTC;0;2456,5;24,1;24,8;22,9;67;8,3;;;;;;;;;
08/05/2023;1600 UTC;0;1810,4;23,8;24,3;23,6;70;8,3;;;;;;;;;
08/05/2023;1700 UTC;0;1989,2;24,9;25,5;23,8;63;6,4;;;;;;;;;
08/05/2023;1800 UTC;0;1331,5;24,9;25,6;24,6;64;6,3;;;;;;;;;
08/05/2023;1900 UTC;0;774,2;24,6;25,2;24,4;63;5,8;;;;;;;;;
08/05/2023;2000 UTC;0;209,7;23,9;24,6;23,9;67;5,1;;;;;;;;;
08/05/2023;2100 UTC;0;56,4;23,2;23,9;23,2;71;4,8;;;;;;;;;
08/05/2023;2200 UTC;0;;21,3;23,2;21,3;83;6,4;;;;;;;;;
08/05/2023;2300 UTC;0;;20,3;21,3;20,3;87;6,1;;;;;;;;;
09/05/2023;0000 UTC;0;;20;20,3;19,9;89;1,5;;;;;;;;;
09/05/2023;0100 UTC;0;;20,3;20,4;20;86;1;;;;;;;;;
09/05/2023;0200 UTC;0;;20,5;20,6;20,1;86;1,1;;;;;;;;;
09/05/2023;0300 UTC;0;;20;20,7;20;88;1,8;;;;;;;;;
09/05/2023;0400 UTC;0;;19,1;20;19;93;0,9;;;;;;;;;
09/05/2023;0500 UTC;0;;19,1;19,2;18,7;94;0,9;;;;;;;;;
09/05/2023;0600 UTC;0;;19,6;19,7;19,1;93;1,7;;;;;;;;;
09/05/2023;0700 UTC;0;;19,8;19,8;19,5;89;1,7;;;;;;;;;
09/05/2023;0800 UTC;0;;18,9;19,8;18,9;94;2,8;;;;;;;;;
09/05/2023;0900 UTC;0;;19;19;18,7;94;2,3;;;;;;;;;
09/05/2023;1000 UTC;0;2,6;18,7;19;18,6;94;2,5;;;;;;;;;
09/05/2023;1100 UTC;0;136,6;18,9;18,9;18,5;94;3,5;;;;;;;;;
09/05/2023;1200 UTC;0;273,3;19,3;19,5;18,9;91;3,3;;;;;;;;;
09/05/2023;1300 UTC;0;659,6;20,5;20,5;19,3;85;4,2;;;;;;;;;
